0x00000000,
0x3EA0C965,
0x3F1922E2,
0x3F5AF4EF,
0x3F8B41BE,
0x3FA63392,
0x3FBE94FC,
0x3FD4A472,
0x3FE89A7B,
0x3FFAAA3C,
0x400580FD,
0x400CE5CB,
0x40139679,
0x4019A42B,
0x401F1E65,
0x4024132D,
0x40288F38,
0x402C9E03,
0x403049F4,
0x40339C72,
0x40369E00,
0x40395653,
0x403BCC62,
0x403E067C,
0x40400A56,
0x4041DD18,
0x40438370,
0x40450196,
0x40465B5F,
0x40479440,
0x4048AF5A,
0x4049AF84,
0x404A974D,
0x404B6908,
0x404C26CD,
0x404CD283,
0x404D6DE2,
0x404DFA78,
0x404E79AD,
0x404EECC7,
0x404F54ED,
0x404FB329,
0x4050086E,
0x40505596,
0x40509B66,
0x4050DA91,
0x405113BA,
0x40514772,
0x4051763E,
0x4051A096,
0x4051C6E6,
0x403DD064,
0x402BC037,
0x401B6816,
0x400C9E21,
0x3FFE78E9,
0x3FE6418D,
0x3FD05824,
0x3FBC8489,
0x3FAA93F0,
0x3F9A5862,
0x3F8BA849,
0x3F7CBC02,
0x3F64AEFD,
0x3F4EEBE3,
0x3F3B3AF2,
0x3F2969B6,
0x3F194A8A,
0x3F0AB41E,
0x3EFB0226,
0x3EE31F2D,
0x3ECD821F,
0x3EB9F39B,
0x3EA84186,
0x3E983E89,
0x3E89C19E,
0x3E794B4D,
0x3E619218,
0x3E4C1AD3,
0x3E38AE81,
0x3E271B5C,
0x3E17345D,
0x3E08D0C7,
0x3DF79775,
0x3DE007B9,
0x3DCAB5FC,
0x3DB76B9E,
0x3DA5F733,
0x3D962C02,
0x3D87E194,
0x3D75E696,
0x3D5E800B,
0x3D495394,
0x3D362AF1,
0x3D24D50A,
0x3D152576,
0x3D06F403,
0x3CF438AC,
0x3CDCFB0B,
0x3CC7F399,
0x3CB4EC74,
0x3EAB04B3,
0x3F1DC3E8,
0x3F5F252F,
0x3F8D26DA,
0x3FA7EA84,
0x3FC02228,
0x3FD60BD2,
0x3FE9DFA9,
0x3FFBD077,
0x4006061B,
0x400D5E3E,
0x40140375,
0x401A06C9,
0x401F77A0,
0x402463EB,
0x4028D847,
0x402CE01E,
0x403085C4,
0x4033D291,
0x4036CEF9,
0x403982A2,
0x403BF47A,
0x403E2AC3,
0x40402B29,
0x4041FACC,
0x40439E50,
0x404519E7,
0x40467160,
0x4047A829,
0x4048C15E,
0x4049BFD1,
0x404AA60D,
0x404B7660,
0x404C32E0,
0x404CDD70,
0x404D77C5,
0x404E036A,
0x404E81C5,
0x404EF41A,
0x404F5B8D,
0x404FB929,
0x40500DDB,
0x40505A7F,
0x40509FD7,
0x4050DE96,
0x4051175D,
0x40514ABC,
0x40517938,
0x4051A347,
0x4051C956,
0x403DD299,
0x402BC236,
0x401B69E4,
0x400C9FC3,
0x3FFE7BDE,
0x3FE6443A,
0x3FD05A90,
0x3FBC86BA,
0x3FAA95EC,
0x3F9A5A2E,
0x3F8BA9E8,
0x3F7CBEF2,
0x3F64B1A5,
0x3F4EEE4B,
0x3F3B3D1F,
0x3F296BAE,
0x3F194C52,
0x3F0AB5BB,
0x3EFB0510,
0x3EE321D1,
0x3ECD8482,
0x3EB9F5C4,
0x3EA8437B,
0x3E98404E,
0x3E89C338,
0x3E794E33,
0x3E6194B7,
0x3E4C1D33,
0x3E38B0A6,
